Unranked,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Species Extra Info
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Antennavirus,Hairy antennavirus,Hairy antennavirus (2 Strains - 9 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Antennavirus,Salmon antennavirus,Salmon antennavirus (1 Strain - 0 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Antennavirus,Striated antennavirus,Striated antennavirus (1 Strain - 6 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Arenavirus,Unclassified Arenavirus,Unclassified Arenavirus (169 Strains - 57 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Hartmanivirus,Haartman hartmanivirus,Haartman hartmanivirus (1 Strain - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Hartmanivirus,Muikkunen hartmanivirus,Muikkunen hartmanivirus (4 Strains - 2 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Hartmanivirus,Schoolhouse hartmanivirus,Schoolhouse hartmanivirus (8 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Hartmanivirus,Unclassified Hartmanivirus,Unclassified Hartmanivirus (5 Strains - 6 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Hartmanivirus,Zurich hartmanivirus,Zurich hartmanivirus (14 Strains - 7 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Allpahuayo mammarenavirus,Allpahuayo mammarenavirus (4 Strains - 5 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Argentinian mammarenavirus,Argentinian mammarenavirus (10 Strains - 9 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Bear Canyon mammarenavirus,Bear Canyon mammarenavirus (21 Strains - 7 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Brazilian mammarenavirus,Brazilian mammarenavirus (2 Strains - 3 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Cali mammarenavirus,Cali mammarenavirus (3 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Chapare mammarenavirus,Chapare mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Chevrier mammarenavirus,Chevrier mammarenavirus (1 Strain - 2 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Cupixi mammarenavirus,Cupixi mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Flexal mammarenavirus,Flexal mammarenavirus (3 Strains - 5 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Gairo mammarenavirus,Gairo mammarenavirus (107 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Guanarito mammarenavirus,Guanarito mammarenavirus (105 Strains - 51 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Ippy mammarenavirus,Ippy mammarenavirus (4 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Lassa mammarenavirus,Lassa mammarenavirus (1363 Strains - 1123 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Latino mammarenavirus,Latino mammarenavirus (7 Strains - 6 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Loei River mammarenavirus,Loei River mammarenavirus (4 Strains - 7 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Lujo mammarenavirus,Lujo mammarenavirus (7 Strains - 7 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Luna mammarenavirus,Luna mammarenavirus (34 Strains - 16 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Lunk mammarenavirus,Lunk mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus (321 Strains - 91 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Machupo mammarenavirus,Machupo mammarenavirus (71 Strains - 51 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Mariental mammarenavirus,Mariental mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Merino Walk mammarenavirus,Merino Walk mammarenavirus (3 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Mobala mammarenavirus,Mobala mammarenavirus (13 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Mopeia mammarenavirus,Mopeia mammarenavirus (29 Strains - 10 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Okahandja mammarenavirus,Okahandja mammarenavirus (6 Strains - 4 complete segments)
